"company","batch","yc_url"
"Locata","S25","https://www.ycombinator.com/companies/locata"
"Magnetic","S25","https://www.ycombinator.com/companies/magnetic"
"Metis","S25","https://www.ycombinator.com/companies/metis"
"Minimal AI","S25","https://www.ycombinator.com/companies/minimal-ai"
"Munify","S25","https://www.ycombinator.com/companies/munify"
"Nautilus","S25","https://www.ycombinator.com/companies/nautilus"
"Nixo","S25","https://www.ycombinator.com/companies/nixo"
"Novaflow","S25","https://www.ycombinator.com/companies/novaflow"
"Nox Metals","S25","https://www.ycombinator.com/companies/nox-metals"
"Orange Slice","S25","https://www.ycombinator.com/companies/orange-slice"
"Panels","S25","https://www.ycombinator.com/companies/panels"
"Pangolin","S25","https://www.ycombinator.com/companies/pangolin"
"Perseus Defense","S25","https://www.ycombinator.com/companies/perseus-defense"
"Perspectives Health","S25","https://www.ycombinator.com/companies/perspectives-health"
"Pingo","S25","https://www.ycombinator.com/companies/pingo"
"Preseen","S25","https://www.ycombinator.com/companies/preseen"
"RealRoots","S25","https://www.ycombinator.com/companies/realroots"
"Risely AI","S25","https://www.ycombinator.com/companies/risely-ai"
"Ruvo","S25","https://www.ycombinator.com/companies/ruvo"
"Sapien","S25","https://www.ycombinator.com/companies/outrove"
"Shor","S25","https://www.ycombinator.com/companies/shor"
"Slashy","S25","https://www.ycombinator.com/companies/slashy"
"Socratix AI","S25","https://www.ycombinator.com/companies/socratix-ai"
"Solva","S25","https://www.ycombinator.com/companies/solva"
"stagewise","S25","https://www.ycombinator.com/companies/stagewise"
"Synthetic Society","S25","https://www.ycombinator.com/companies/synthetic-society"
"The Prompting Company","S25","https://www.ycombinator.com/companies/the-prompting-company"
"Theora","S25","https://www.ycombinator.com/companies/theora"
"TraceRoot.AI","S25","https://www.ycombinator.com/companies/traceroot-ai"
"Verne Robotics","S25","https://www.ycombinator.com/companies/verne-robotics"
"Vulcan Technologies","S25","https://www.ycombinator.com/companies/vulcan-technologies"
"Wayline","S25","https://www.ycombinator.com/companies/wayline"
"Wedge","S25","https://www.ycombinator.com/companies/wedge"
"AnswerThis","F25","https://www.ycombinator.com/companies/answerthis"
"Aspect","F25","https://www.ycombinator.com/companies/aspect-inc"
"AtlasGrid","F25","https://www.ycombinator.com/companies/atlasgrid"
"Bluma","F25","https://www.ycombinator.com/companies/bluma"
"Casey","F25","https://www.ycombinator.com/companies/casey"
"Clad Labs","F25","https://www.ycombinator.com/companies/clad-labs"
"Clicks Health","F25","https://www.ycombinator.com/companies/clicks-health"
"Coasts","F25","https://www.ycombinator.com/companies/coasts"
"Cranston AI","F25","https://www.ycombinator.com/companies/cranston-ai"
"Crunched","F25","https://www.ycombinator.com/companies/crunched"
"dari.dev","F25","https://www.ycombinator.com/companies/daridev"
"Deeptrace","F25","https://www.ycombinator.com/companies/deeptrace"
"Dome","F25","https://www.ycombinator.com/companies/dome"
"Everest","F25","https://www.ycombinator.com/companies/everest"
"Fernstone","F25","https://www.ycombinator.com/companies/fernstone"
"Hypercubic","F25","https://www.ycombinator.com/companies/hypercubic"
"Icarus","F25","https://www.ycombinator.com/companies/icarus"
"Kaigo Health","F25","https://www.ycombinator.com/companies/kaigo-health"
"Karumi","F25","https://www.ycombinator.com/companies/karumi"
"Layers","F25","https://www.ycombinator.com/companies/layers"
"Lua Global Inc","F25","https://www.ycombinator.com/companies/lua-global-inc"
"Mayflower","F25","https://www.ycombinator.com/companies/mayflower"
"Miniswap","F25","https://www.ycombinator.com/companies/miniswap"
"Minro","F25","https://www.ycombinator.com/companies/minro"
"Nessie","F25","https://www.ycombinator.com/companies/nessie"
"Nucleo","F25","https://www.ycombinator.com/companies/nucleo"
"Null Labs","F25","https://www.ycombinator.com/companies/null-labs"
"Parametric","F25","https://www.ycombinator.com/companies/parametric"
"Parse","F25","https://www.ycombinator.com/companies/parse-bot"
"Play Health","F25","https://www.ycombinator.com/companies/play-health"
"Radius","F25","https://www.ycombinator.com/companies/radiusbrowser"
"Remedy","F25","https://www.ycombinator.com/companies/remedy"
"Rovi Health","F25","https://www.ycombinator.com/companies/rovi-health"
"s2.dev","F25","https://www.ycombinator.com/companies/s2-dev"
"Sava","F25","https://www.ycombinator.com/companies/savahq"
"Scott AI","F25","https://www.ycombinator.com/companies/scott-ai"
"Selfin","F25","https://www.ycombinator.com/companies/selfin"
"Semiotic","F25","https://www.ycombinator.com/companies/semiotic"
"SF Tensor","F25","https://www.ycombinator.com/companies/sf-tensor"
"The Hog","F25","https://www.ycombinator.com/companies/the-hog"
"Tornyol","F25","https://www.ycombinator.com/companies/tornyol"
"Wardstone","F25","https://www.ycombinator.com/companies/wardstone"
"Zalos","F25","https://www.ycombinator.com/companies/zalos"
